scenario,source,target,path,cost,algorithm,note
distance,Maghazi,Al Quds Open University - Gaza Branch,,,,no path
distance,Maghazi,جامعة الازهر كلية الحقوق المغراقة,"['Maghazi', 'north gaza int', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",7.35,dijkstra,ok
distance,Maghazi,Islamic University - khanyonuis,"['Maghazi', 'مستشفى شهداء الاقصى', 'Al Qarara', 'Islamic University - khanyonuis']",10.959999999999999,dijkstra,ok
distance,Az Zawayda,مستشفى شهداء الاقصى,"['Az Zawayda', 'مستشفى شهداء الاقصى']",1.17,dijkstra,ok
distance,Az Zawayda,Gaza field hospital of the Jordanian-,,,,no path
distance,Az Zawayda,مستشفى الشفا - مبنى الحروق,,,,no path
distance,Az Zawayda,UNRWA vocational college,"['Az Zawayda', 'مستشفى شهداء الاقصى', 'Al Qarara', 'UNRWA vocational college']",9.44,dijkstra,ok
distance,Az Zawayda,UNRWA-GFO,"['Az Zawayda', 'north gaza int', 'Nuseirat', 'UNRWA-GFO']",6.07,dijkstra,ok
distance,Az Zawayda,Al Quds Open University - Gaza Branch,,,,no path
distance,Az Zawayda,جامعة الازهر كلية الحقوق المغراقة,"['Az Zawayda', 'north gaza int', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",7.33,dijkstra,ok
distance,Az Zawayda,Islamic University - khanyonuis,"['Az Zawayda', 'مستشفى شهداء الاقصى', 'Al Qarara', 'Islamic University - khanyonuis']",10.11,dijkstra,ok
distance,Deir al Balah,مستشفى شهداء الاقصى,"['Deir al Balah', 'مستشفى شهداء الاقصى']",0.61,dijkstra,ok
distance,Deir al Balah,Gaza field hospital of the Jordanian-,,,,no path
distance,Deir al Balah,مستشفى الشفا - مبنى الحروق,,,,no path
distance,Deir al Balah,UNRWA vocational college,"['Deir al Balah', 'مستشفى شهداء الاقصى', 'Al Qarara', 'UNRWA vocational college']",8.879999999999999,dijkstra,ok
distance,Deir al Balah,UNRWA-GFO,"['Deir al Balah', 'north gaza int', 'Nuseirat', 'UNRWA-GFO']",7.42,dijkstra,ok
distance,Deir al Balah,Al Quds Open University - Gaza Branch,,,,no path
distance,Deir al Balah,جامعة الازهر كلية الحقوق المغراقة,"['Deir al Balah', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",8.08,dijkstra,ok
distance,Deir al Balah,Islamic University - khanyonuis,"['Deir al Balah', 'مستشفى شهداء الاقصى', 'Al Qarara', 'Islamic University - khanyonuis']",9.55,dijkstra,ok
distance,Al Musaddar,مستشفى شهداء الاقصى,"['Al Musaddar', 'مستشفى شهداء الاقصى']",1.59,dijkstra,ok
distance,Al Musaddar,Gaza field hospital of the Jordanian-,,,,no path
distance,Al Musaddar,مستشفى الشفا - مبنى الحروق,,,,no path
distance,Al Musaddar,UNRWA vocational college,"['Al Musaddar', 'مستشفى شهداء الاقصى', 'Al Qarara', 'UNRWA vocational college']",9.86,dijkstra,ok
distance,Al Musaddar,UNRWA-GFO,"['Al Musaddar', 'north gaza int', 'Nuseirat', 'UNRWA-GFO']",6.46,dijkstra,ok
distance,Al Musaddar,Al Quds Open University - Gaza Branch,,,,no path
distance,Al Musaddar,جامعة الازهر كلية الحقوق المغراقة,"['Al Musaddar', 'north gaza int', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",7.720000000000001,dijkstra,ok
distance,Al Musaddar,Islamic University - khanyonuis,"['Al Musaddar', 'مستشفى شهداء الاقصى', 'Al Qarara', 'Islamic University - khanyonuis']",10.53,dijkstra,ok
distance,Abasan al-Kabira,مستشفى شهداء الاقصى,"['Abasan al-Kabira', 'middle camps int', 'Al Qarara', 'مستشفى شهداء الاقصى']",10.23,dijkstra,ok
distance,Abasan al-Kabira,Gaza field hospital of the Jordanian-,,,,no path
distance,Abasan al-Kabira,مستشفى الشفا - مبنى الحروق,,,,no path
distance,Abasan al-Kabira,UNRWA vocational college,"['Abasan al-Kabira', 'middle camps int', 'Al Qarara', 'UNRWA vocational college']",9.48,dijkstra,ok
distance,Abasan al-Kabira,UNRWA-GFO,"['Abasan al-Kabira', 'middle camps int', 'Al Qarara', 'مستشفى شهداء الاقصى', 'north gaza int', 'Nuseirat', 'UNRWA-GFO']",17.11,dijkstra,ok
distance,Abasan al-Kabira,Al Quds Open University - Gaza Branch,,,,no path
distance,Abasan al-Kabira,جامعة الازهر كلية الحقوق المغراقة,"['Abasan al-Kabira', 'middle camps int', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",17.700000000000003,dijkstra,ok
distance,Abasan al-Kabira,Islamic University - khanyonuis,"['Abasan al-Kabira', 'Islamic University - khanyonuis']",2.4,dijkstra,ok
distance,Abasan al-Saghira,مستشفى شهداء الاقصى,"['Abasan al-Saghira', 'middle camps int', 'Al Qarara', 'مستشفى شهداء الاقصى']",10.59,dijkstra,ok
distance,Abasan al-Saghira,Gaza field hospital of the Jordanian-,,,,no path
distance,Abasan al-Saghira,مستشفى الشفا - مبنى الحروق,,,,no path
distance,Abasan al-Saghira,UNRWA vocational college,"['Abasan al-Saghira', 'middle camps int', 'Al Qarara', 'UNRWA vocational college']",9.84,dijkstra,ok
distance,Abasan al-Saghira,UNRWA-GFO,"['Abasan al-Saghira', 'middle camps int', 'Al Qarara', 'مستشفى شهداء الاقصى', 'north gaza int', 'Nuseirat', 'UNRWA-GFO']",17.47,dijkstra,ok
distance,Abasan al-Saghira,Al Quds Open University - Gaza Branch,,,,no path
distance,Abasan al-Saghira,جامعة الازهر كلية الحقوق المغراقة,"['Abasan al-Saghira', 'middle camps int', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",18.060000000000002,dijkstra,ok
distance,Abasan al-Saghira,Islamic University - khanyonuis,"['Abasan al-Saghira', 'Islamic University - khanyonuis']",3.02,dijkstra,ok
distance,Bani Suheila,مستشفى شهداء الاقصى,"['Bani Suheila', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى']",11.049999999999999,dijkstra,ok
distance,Bani Suheila,Gaza field hospital of the Jordanian-,,,,no path
distance,Bani Suheila,مستشفى الشفا - مبنى الحروق,,,,no path
distance,Bani Suheila,UNRWA vocational college,"['Bani Suheila', 'Islamic University - khanyonuis', 'Al Qarara', 'UNRWA vocational college']",10.299999999999999,dijkstra,ok
distance,Bani Suheila,UNRWA-GFO,"['Bani Suheila', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'north gaza int', 'Nuseirat', 'UNRWA-GFO']",17.93,dijkstra,ok
distance,Bani Suheila,Al Quds Open University - Gaza Branch,,,,no path
distance,Bani Suheila,جامعة الازهر كلية الحقوق المغراقة,"['Bani Suheila', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",18.519999999999996,dijkstra,ok
distance,Bani Suheila,Islamic University - khanyonuis,"['Bani Suheila', 'Islamic University - khanyonuis']",2.11,dijkstra,ok
distance,Khuza'a,مستشفى شهداء الاقصى,"[""Khuza'a"", 'middle camps int', 'Al Qarara', 'مستشفى شهداء الاقصى']",11.62,dijkstra,ok
distance,Khuza'a,Gaza field hospital of the Jordanian-,,,,no path
distance,Khuza'a,مستشفى الشفا - مبنى الحروق,,,,no path
distance,Khuza'a,UNRWA vocational college,"[""Khuza'a"", 'middle camps int', 'Al Qarara', 'UNRWA vocational college']",10.87,dijkstra,ok
distance,Khuza'a,UNRWA-GFO,"[""Khuza'a"", 'middle camps int', 'Al Qarara', 'مستشفى شهداء الاقصى', 'north gaza int', 'Nuseirat', 'UNRWA-GFO']",18.5,dijkstra,ok
distance,Khuza'a,Al Quds Open University - Gaza Branch,,,,no path
distance,Khuza'a,جامعة الازهر كلية الحقوق المغراقة,"[""Khuza'a"", 'middle camps int', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",19.089999999999996,dijkstra,ok
distance,Khuza'a,Islamic University - khanyonuis,"[""Khuza'a"", 'Islamic University - khanyonuis']",3.71,dijkstra,ok
distance,Al Qarara,مستشفى شهداء الاقصى,"['Al Qarara', 'مستشفى شهداء الاقصى']",4.51,dijkstra,ok
distance,Al Qarara,Gaza field hospital of the Jordanian-,,,,no path
distance,Al Qarara,مستشفى الشفا - مبنى الحروق,,,,no path
distance,Al Qarara,UNRWA vocational college,"['Al Qarara', 'UNRWA vocational college']",3.76,dijkstra,ok
distance,Al Qarara,UNRWA-GFO,"['Al Qarara', 'مستشفى شهداء الاقصى', 'north gaza int', 'Nuseirat', 'UNRWA-GFO']",11.39,dijkstra,ok
distance,Al Qarara,Al Quds Open University - Gaza Branch,,,,no path
distance,Al Qarara,جامعة الازهر كلية الحقوق المغراقة,"['Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",11.979999999999999,dijkstra,ok
distance,Al Qarara,Islamic University - khanyonuis,"['Al Qarara', 'Islamic University - khanyonuis']",4.43,dijkstra,ok
distance,Al Fukhkhari,مستشفى شهداء الاقصى,"['Al Fukhkhari', 'middle camps int', 'Al Qarara', 'مستشفى شهداء الاقصى']",11.79,dijkstra,ok
distance,Al Fukhkhari,Gaza field hospital of the Jordanian-,,,,no path
distance,Al Fukhkhari,مستشفى الشفا - مبنى الحروق,,,,no path
distance,Al Fukhkhari,UNRWA vocational college,"['Al Fukhkhari', 'middle camps int', 'Al Qarara', 'UNRWA vocational college']",11.04,dijkstra,ok
distance,Al Fukhkhari,UNRWA-GFO,"['Al Fukhkhari', 'middle camps int', 'Al Qarara', 'مستشفى شهداء الاقصى', 'north gaza int', 'Nuseirat', 'UNRWA-GFO']",18.669999999999998,dijkstra,ok
distance,Al Fukhkhari,Al Quds Open University - Gaza Branch,,,,no path
distance,Al Fukhkhari,جامعة الازهر كلية الحقوق المغراقة,"['Al Fukhkhari', 'middle camps int', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",19.259999999999998,dijkstra,ok
distance,Al Fukhkhari,Islamic University - khanyonuis,"['Al Fukhkhari', 'Islamic University - khanyonuis']",2.86,dijkstra,ok
distance,Rafah Camp,مستشفى شهداء الاقصى,"['Rafah Camp', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى']",15.959999999999999,dijkstra,ok
distance,Rafah Camp,Gaza field hospital of the Jordanian-,,,,no path
distance,Rafah Camp,مستشفى الشفا - مبنى الحروق,,,,no path
distance,Rafah Camp,UNRWA vocational college,"['Rafah Camp', 'khan younes int', 'مستشفي الخير', 'UNRWA vocational college']",9.620000000000001,dijkstra,ok
distance,Rafah Camp,UNRWA-GFO,"['Rafah Camp', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'north gaza int', 'Nuseirat', 'UNRWA-GFO']",22.84,dijkstra,ok
distance,Rafah Camp,Al Quds Open University - Gaza Branch,,,,no path
distance,Rafah Camp,جامعة الازهر كلية الحقوق المغراقة,"['Rafah Camp', 'Islamic University - khanyonuis', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",23.43,dijkstra,ok
distance,Rafah Camp,Islamic University - khanyonuis,"['Rafah Camp', 'Islamic University - khanyonuis']",7.02,dijkstra,ok
distance,Tal as Sultan,مستشفى شهداء الاقصى,"['Tal as Sultan', 'UNRWA vocational college', 'Al Qarara', 'مستشفى شهداء الاقصى']",14.63,dijkstra,ok
distance,Tal as Sultan,Gaza field hospital of the Jordanian-,,,,no path
distance,Tal as Sultan,مستشفى الشفا - مبنى الحروق,,,,no path
distance,Tal as Sultan,UNRWA vocational college,"['Tal as Sultan', 'UNRWA vocational college']",6.36,dijkstra,ok
distance,Tal as Sultan,UNRWA-GFO,"['Tal as Sultan', 'UNRWA vocational college', 'Al Qarara', 'مستشفى شهداء الاقصى', 'north gaza int', 'Nuseirat', 'UNRWA-GFO']",21.51,dijkstra,ok
