scenario,source,target,path,cost,algorithm,note
risk,Sheikh Radwan,Gaza field hospital of the Jordanian-,"['Sheikh Radwan', 'Rafah int', 'Gaza field hospital of the Jordanian-']",10.01,dijkstra,ok
risk,Sheikh Radwan,مستشفى الشفا - مبنى الحروق,"['Sheikh Radwan', 'مستشفى الشفا - مبنى الحروق']",3.79,dijkstra,ok
risk,Sheikh Radwan,UNRWA vocational college,,,,no path
risk,Sheikh Radwan,UNRWA-GFO,,,,no path
risk,Sheikh Radwan,Al Quds Open University - Gaza Branch,"['Sheikh Radwan', 'Al Quds Open University - Gaza Branch']",3.85,dijkstra,ok
risk,Sheikh Radwan,جامعة الازهر كلية الحقوق المغراقة,,,,no path
risk,Sheikh Radwan,Islamic University - khanyonuis,,,,no path
risk,Nuseirat,مستشفى شهداء الاقصى,"['Nuseirat', 'north gaza int', 'مستشفى شهداء الاقصى']",6.140000000000001,dijkstra,ok
risk,Nuseirat,Gaza field hospital of the Jordanian-,,,,no path
risk,Nuseirat,مستشفى الشفا - مبنى الحروق,,,,no path
risk,Nuseirat,UNRWA vocational college,"['Nuseirat', 'north gaza int', 'مستشفى شهداء الاقصى', 'Al Qarara', 'UNRWA vocational college']",13.9,dijkstra,ok
risk,Nuseirat,UNRWA-GFO,"['Nuseirat', 'UNRWA-GFO']",3.09,dijkstra,ok
risk,Nuseirat,Al Quds Open University - Gaza Branch,,,,no path
risk,Nuseirat,جامعة الازهر كلية الحقوق المغراقة,"['Nuseirat', 'UNRWA-GFO', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",9.78,dijkstra,ok
risk,Nuseirat,Islamic University - khanyonuis,"['Nuseirat', 'north gaza int', 'مستشفى شهداء الاقصى', 'Al Qarara', 'Islamic University - khanyonuis']",14.39,dijkstra,ok
risk,Bureij,مستشفى شهداء الاقصى,"['Bureij', 'مستشفى شهداء الاقصى']",2.78,dijkstra,ok
risk,Bureij,Gaza field hospital of the Jordanian-,,,,no path
risk,Bureij,مستشفى الشفا - مبنى الحروق,,,,no path
risk,Bureij,UNRWA vocational college,"['Bureij', 'مستشفى شهداء الاقصى', 'Al Qarara', 'UNRWA vocational college']",10.54,dijkstra,ok
risk,Bureij,UNRWA-GFO,"['Bureij', 'UNRWA-GFO']",3.25,dijkstra,ok
risk,Bureij,Al Quds Open University - Gaza Branch,,,,no path
risk,Bureij,جامعة الازهر كلية الحقوق المغراقة,"['Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",3.44,dijkstra,ok
risk,Bureij,Islamic University - khanyonuis,"['Bureij', 'مستشفى شهداء الاقصى', 'Al Qarara', 'Islamic University - khanyonuis']",11.03,dijkstra,ok
risk,Maghazi,مستشفى شهداء الاقصى,"['Maghazi', 'مستشفى شهداء الاقصى']",2.01,dijkstra,ok
risk,Maghazi,Gaza field hospital of the Jordanian-,,,,no path
risk,Maghazi,مستشفى الشفا - مبنى الحروق,,,,no path
risk,Maghazi,UNRWA vocational college,"['Maghazi', 'مستشفى شهداء الاقصى', 'Al Qarara', 'UNRWA vocational college']",9.77,dijkstra,ok
risk,Maghazi,UNRWA-GFO,"['Maghazi', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",8.04,dijkstra,ok
risk,Maghazi,Al Quds Open University - Gaza Branch,,,,no path
risk,Maghazi,جامعة الازهر كلية الحقوق المغراقة,"['Maghazi', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",8.229999999999999,dijkstra,ok
risk,Maghazi,Islamic University - khanyonuis,"['Maghazi', 'مستشفى شهداء الاقصى', 'Al Qarara', 'Islamic University - khanyonuis']",10.26,dijkstra,ok
