scenario,source,target,path,cost,algorithm,note
aid,Tal as Sultan,UNRWA vocational college,"['Tal as Sultan', 'UNRWA vocational college']",1.6699999999999995,dijkstra,ok
aid,Tal as Sultan,UNRWA-GFO,"['Tal as Sultan', 'UNRWA vocational college', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",6.899999999999999,dijkstra,ok
aid,Tal as Sultan,Al Quds Open University - Gaza Branch,,,,no path
aid,Tal as Sultan,جامعة الازهر كلية الحقوق المغراقة,"['Tal as Sultan', 'UNRWA vocational college', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",7.039999999999998,dijkstra,ok
aid,Tal as Sultan,Islamic University - khanyonuis,"['Tal as Sultan', 'UNRWA vocational college', 'Al Qarara', 'Islamic University - khanyonuis']",5.129999999999999,dijkstra,ok
aid,مستشفي الخير,مستشفى شهداء الاقصى,"['مستشفي الخير', 'UNRWA vocational college', 'Al Qarara', 'مستشفى شهداء الاقصى']",4.199999999999999,dijkstra,ok
aid,مستشفي الخير,Gaza field hospital of the Jordanian-,,,,no path
aid,مستشفي الخير,مستشفى الشفا - مبنى الحروق,,,,no path
aid,مستشفي الخير,UNRWA vocational college,"['مستشفي الخير', 'UNRWA vocational college']",1.1399999999999997,dijkstra,ok
aid,مستشفي الخير,UNRWA-GFO,"['مستشفي الخير', 'UNRWA vocational college', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'UNRWA-GFO']",6.369999999999999,dijkstra,ok
aid,مستشفي الخير,Al Quds Open University - Gaza Branch,,,,no path
aid,مستشفي الخير,جامعة الازهر كلية الحقوق المغراقة,"['مستشفي الخير', 'UNRWA vocational college', 'Al Qarara', 'مستشفى شهداء الاقصى', 'Bureij', 'جامعة الازهر كلية الحقوق المغراقة']",6.509999999999999,dijkstra,ok
aid,مستشفي الخير,Islamic University - khanyonuis,"['مستشفي الخير', 'UNRWA vocational college', 'Al Qarara', 'Islamic University - khanyonuis']",4.599999999999999,dijkstra,ok
aid,مدرسة الفاخورة,مستشفى شهداء الاقصى,,,,no path
aid,مدرسة الفاخورة,Gaza field hospital of the Jordanian-,"['مدرسة الفاخورة', 'Gaza field hospital of the Jordanian-']",3.3199999999999994,dijkstra,ok
aid,مدرسة الفاخورة,مستشفى الشفا - مبنى الحروق,"['مدرسة الفاخورة', 'مستشفى الشفا - مبنى الحروق']",3.1799999999999997,dijkstra,ok
aid,مدرسة الفاخورة,UNRWA vocational college,,,,no path
aid,مدرسة الفاخورة,UNRWA-GFO,,,,no path
aid,مدرسة الفاخورة,Al Quds Open University - Gaza Branch,"['مدرسة الفاخورة', 'Al Quds Open University - Gaza Branch']",3.0699999999999994,dijkstra,ok
aid,مدرسة الفاخورة,جامعة الازهر كلية الحقوق المغراقة,,,,no path
aid,مدرسة الفاخورة,Islamic University - khanyonuis,,,,no path
